"variable" "activity" "subject" "avgresults"
"fBodyAcc.mean" "LAYING" 1 -0.896277044593333
"fBodyAcc.mean" "LAYING" 2 -0.980302306527778
"fBodyAcc.mean" "LAYING" 3 -0.970055911182796
"fBodyAcc.mean" "LAYING" 4 -0.955063243641975
"fBodyAcc.mean" "LAYING" 5 -0.970389641346154
"fBodyAcc.mean" "LAYING" 6 -0.933621985964912
"fBodyAcc.mean" "LAYING" 7 -0.951409948012821
"fBodyAcc.mean" "LAYING" 8 -0.949874913888889
"fBodyAcc.mean" "LAYING" 9 -0.942383697666667
"fBodyAcc.mean" "LAYING" 10 -0.962608967643678
"fBodyAcc.mean" "LAYING" 11 -0.976260704619883
"fBodyAcc.mean" "LAYING" 12 -0.954079753444444
"fBodyAcc.mean" "LAYING" 13 -0.968952086827957
"fBodyAcc.mean" "LAYING" 14 -0.93072846379085
"fBodyAcc.mean" "LAYING" 15 -0.962681082361111
"fBodyAcc.mean" "LAYING" 16 -0.972809610571429
"fBodyAcc.mean" "LAYING" 17 -0.964804491314554
"fBodyAcc.mean" "LAYING" 18 -0.986232254358974
"fBodyAcc.mean" "LAYING" 19 -0.977557667148594
"fBodyAcc.mean" "LAYING" 20 -0.969239130441176
"fBodyAcc.mean" "LAYING" 21 -0.96335860437037
"fBodyAcc.mean" "LAYING" 22 -0.944500827268518
"fBodyAcc.mean" "LAYING" 23 -0.976541582685185
"fBodyAcc.mean" "LAYING" 24 -0.977786288287037
"fBodyAcc.mean" "LAYING" 25 -0.843430381296804
"fBodyAcc.mean" "LAYING" 26 -0.980616482368421
"fBodyAcc.mean" "LAYING" 27 -0.983634796216216
"fBodyAcc.mean" "LAYING" 28 -0.964494302958333
"fBodyAcc.mean" "LAYING" 29 -0.98837841
"fBodyAcc.mean" "LAYING" 30 -0.96836208852381
"fBodyAcc.mean" "SITTING" 1 -0.960970226099291
"fBodyAcc.mean" "SITTING" 2 -0.97110317057971
